iter	Passed	Remaining
570	18968	14251
571	19001	14217
572	19033	14183
573	19068	14151
574	19100	14117
575	19134	14085
576	19167	14051
577	19199	14017
578	19231	13983
579	19263	13949
580	19298	13917
581	19330	13883
582	19366	13851
583	19398	13818
584	19430	13784
585	19464	13751
586	19496	13717
587	19531	13685
588	19564	13651
589	19597	13618
590	19631	13585
591	19663	13551
592	19695	13517
593	19728	13484
594	19763	13452
595	19795	13418
596	19828	13385
597	19860	13351
598	19893	13317
599	19926	13284
600	19962	13252
601	19996	13220
602	20029	13186
603	20061	13153
604	20094	13119
605	20128	13086
606	20160	13052
607	20192	13019
608	20228	12987
609	20261	12954
610	20294	12920
611	20329	12888
612	20362	12855
613	20395	12821
614	20427	12787
615	20461	12755
616	20495	12722
617	20528	12689
618	20562	12656
619	20595	12622
620	20628	12589
621	20660	12556
622	20696	12524
623	20729	12490
624	20761	12457
625	20794	12423
626	20826	12389
627	20859	12356
628	20891	12322
629	20925	12289
630	20958	12256
631	20990	12222
632	21024	12189
633	21056	12155
634	21089	12122
635	21122	12088
636	21158	12057
637	21190	12023
638	21223	11990
639	21255	11956
640	21288	11922
641	21320	11889
642	21360	11859
643	21401	11830
644	21438	11799
645	21471	11766
646	21503	11732
647	21536	11698
648	21574	11668
649	21606	11634
650	21641	11601
651	21673	11568
652	21706	11534
653	21740	11501
654	21775	11469
655	21809	11436
656	21842	11403
657	21875	11369
658	21907	11336
659	21939	11302
660	21972	11268
661	22006	11235
662	22038	11202
663	22072	11169
664	22106	11136
665	22144	11105
666	22179	11072
667	22211	11039
668	22246	11006
669	22278	10972
670	22310	10939
671	22344	10906
672	22376	10872
673	22408	10838
674	22440	10804
675	22482	10775
676	22516	10742
677	22549	10709
678	22581	10675
679	22614	10642
680	22649	10609
681	22682	10576
682	22717	10543
683	22749	10510
684	22782	10476
685	22814	10442
686	22847	10409
687	22882	10376
688	22917	10344
689	22950	10310
690	22983	10277
691	23016	10244
692	23048	10210
693	23081	10177
694	23117	10144
695	23151	10112
696	23183	10078
697	23216	10044
698	23248	10011
699	23281	9977
700	23313	9943
701	23345	9910
702	23380	9877
703	23413	9844
704	23446	9810
705	23478	9777
706	23510	9743
707	23546	9711
708	23578	9677
709	23612	9644
710	23646	9611
711	23679	9578
712	23711	9544
713	23744	9510
714	23776	9477
715	23808	9443
716	23842	9410
717	23875	9377
718	23908	9343
719	23940	9310
720	23972	9276
721	24004	9242
722	24037	9209
723	24072	9176
724	24105	9143
725	24140	9110
726	24174	9077
727	24207	9044
728	24239	9011
729	24272	8977
730	24306	8944
731	24337	8910
732	24370	8877
733	24402	8843
734	24434	8809
735	24467	8776
736	24503	8744
737	24535	8710
738	24568	8677
739	24600	8643
740	24632	8609
741	24665	8576
742	24699	8543
743	24736	8511
744	24768	8477
745	24801	8444
746	24833	8410
747	24865	8377
748	24898	8343
749	24930	8310
750	24965	8277
751	24997	8243
752	25029	8210
753	25062	8176
754	25095	8143
755	25127	8109
